model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.27090256810188296,0.2206575334072113,0.31280322670936583,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.15890975743532182,0.11289243251085282,0.21274239122867583,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.28105043768882754,0.25981112122535704,0.3059713304042816,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,crsa,0.24565397799015046,0.19983627796173095,0.29558701515197755,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.23250212967395784,0.214347642660141,0.25065661668777467,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,crsa,0.14773730486631392,0.08863387554883957,0.20526252388954164,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,crsa,0.22002436518669127,0.16903556287288665,0.25955518186092374,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,crsa,0.15988441705703735,0.12698974907398225,0.1915243685245514,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,crsa,0.1881559431552887,0.1771998733282089,0.2020219624042511,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.22816944718360901,0.20524972081184387,0.25108917355537413,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.20037893652915956,0.18614596426486968,0.2129625916481018,5,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
convnext_large_classification,crsa,0.18157323598861694,0.14499348700046538,0.2181529849767685,5,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,convnext_large,convnext_large_classification,ConvNext-L,classification,imagenet,convnext_large,Convolutional,Semantic,Convolutional,,,,,,,imagenet
ghostnet_100_classification,crsa,0.16059576719999313,0.1247156873345375,0.2034524142742157,5,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
resnet50_classification,crsa,0.19687556922435762,0.1855051338672638,0.2055880069732666,5,Fig2 architecture,Convolutional,#e69f00,13.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,resnet50,resnet50_classification,ResNet50,classification,imagenet,resnet50,Convolutional,Semantic,Convolutional,,,,,,,
shufflenet_v2_x1_0_classification,crsa,0.2150604248046875,0.19381153881549834,0.23888574838638305,5,Fig2 architecture,Convolutional,#e69f00,14.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,shufflenet_v2_x1_0,shufflenet_v2_x1_0_classification,ShuffleNet-V2-x1.0,classification,imagenet,shufflenet_v2_x1_0,Convolutional,Semantic,Convolutional,,,,,,,
inception_v3_classification,crsa,0.1707472622394562,0.14960807859897612,0.18869405388832092,5,Fig2 architecture,Convolutional,#e69f00,15.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,inception_v3,inception_v3_classification,Inception-V3,classification,imagenet,inception_v3,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.18313563764095306,0.13950657546520234,0.24471337199211118,5,Fig2 architecture,Convolutional,#e69f00,16.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
efficientnet_b3_classification,crsa,0.2133582353591919,0.15963053405284883,0.2802795469760895,5,Fig2 architecture,Convolutional,#e69f00,17.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,efficientnet_b3,efficientnet_b3_classification,EfficientNet-B3,classification,imagenet,efficientnet_b3,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.16157750636339188,0.11924787908792496,0.19420307278633117,5,Fig2 architecture,Convolutional,#e69f00,18.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
gmixer_24_224_classification,crsa,0.06455309912562371,0.030464760959148407,0.098641437292099,5,Fig2 architecture,Convolutional,#e69f00,19.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,gmixer_24_224,gmixer_24_224_classification,GMixer-24,classification,imagenet,gmixer_24_224,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,crsa,0.15736437290906907,0.11960163246840241,0.21425667107105256,5,Fig2 architecture,Convolutional,#e69f00,20.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
googlenet_classification,crsa,0.1925519436597824,0.16440411508083344,0.21547890901565553,5,Fig2 architecture,Convolutional,#e69f00,21.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,googlenet,googlenet_classification,GoogleNet,classification,imagenet,googlenet,Convolutional,Semantic,Convolutional,,,,,,,
nfnet_l0_classification,crsa,0.23686294555664061,0.19541074633598327,0.2775852620601654,5,Fig2 architecture,Convolutional,#e69f00,22.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,nfnet_l0,nfnet_l0_classification,NF-Net-L0,classification,imagenet,nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
eca_nfnet_l0_classification,crsa,0.22094810009002686,0.1916820526123047,0.2477858155965805,5,Fig2 architecture,Convolutional,#e69f00,23.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,eca_nfnet_l0,eca_nfnet_l0_classification,ECA-NFNeT-L0,classification,imagenet,eca_nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
xception_classification,crsa,0.20726687014102935,0.16222245693206788,0.2551897495985031,5,Fig2 architecture,Convolutional,#e69f00,24.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,xception,xception_classification,XCeption,classification,imagenet,xception,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_f_classification,crsa,0.22725558280944824,0.19798098802566527,0.2565301775932312,5,Fig2 architecture,Convolutional,#e69f00,25.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,hardcorenas_f,hardcorenas_f_classification,HardCoreNAS-F,classification,imagenet,hardcorenas_f,Convolutional,Semantic,Convolutional,,,,,,,
resnet101_classification,crsa,0.21798981130123138,0.18524256348609924,0.2507370591163635,5,Fig2 architecture,Convolutional,#e69f00,26.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,resnet101,resnet101_classification,ResNet101,classification,imagenet,resnet101,Convolutional,Semantic,Convolutional,,,,,,,
regnetx_064_classification,crsa,0.21679477393627167,0.2006998211145401,0.23926023542881011,5,Fig2 architecture,Convolutional,#e69f00,27.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
cspresnet50_classification,crsa,0.21252205967903137,0.17150215804576874,0.24447114765644073,5,Fig2 architecture,Convolutional,#e69f00,28.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,cspresnet50,cspresnet50_classification,CSP-ResNet50,classification,imagenet,cspresnet50,Convolutional,Semantic,Convolutional,,,,,,,
mobilenet_v2_classification,crsa,0.14767999425530434,0.08495474681258203,0.20859785079956056,5,Fig2 architecture,Convolutional,#e69f00,29.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,mobilenet_v2,mobilenet_v2_classification,MobileNet-V2,classification,imagenet,mobilenet_v2,Convolutional,Semantic,Convolutional,,,,,,,
mnasnet1_0_classification,crsa,0.22601354122161865,0.18572134375572205,0.25747035145759584,5,Fig2 architecture,Convolutional,#e69f00,30.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,mnasnet1_0,mnasnet1_0_classification,MNASNet1.0,classification,imagenet,mnasnet1_0,Convolutional,Semantic,Convolutional,,,,,,,
convnext_base_classification,crsa,0.10447211191058159,0.0740791954100132,0.13454618901014329,5,Fig2 architecture,Convolutional,#e69f00,31.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,convnext_base,convnext_base_classification,ConvNext-B,classification,imagenet,convnext_base,Convolutional,Semantic,Convolutional,,,,,,,imagenet
gmlp_s16_224_classification,crsa,0.1569475159049034,0.1277880549430847,0.19222008287906647,5,Fig2 architecture,Convolutional,#e69f00,32.0,-0.38,32.38,0.19410653473301367,0.17837303383106534,0.208583598285349,gmlp_s16_224,gmlp_s16_224_classification,GMLP-S16,classification,imagenet,gmlp_s16_224,Convolutional,Semantic,Convolutional,,,,,,,
vgg16_classification,wrsa,0.26083687245845794,0.2223740190267563,0.3018430799245834,5,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,wrsa,0.2982645362615585,0.20684385001659394,0.3728687047958374,5,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,wrsa,0.30739250779151917,0.28074146509170533,0.334043550491333,5,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
mobilenetv3_large_100_classification,wrsa,0.3093615919351578,0.2563355028629303,0.3623876810073853,5,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,mobilenetv3_large_100,mobilenetv3_large_100_classification,MobileNet-V3-Large,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,wrsa,0.3147199034690857,0.28955394625663755,0.3398858606815338,5,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
skresnext50_32x4d_classification,wrsa,0.31711670756340027,0.28075135946273805,0.3533017933368683,5,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,skresnext50_32x4d,skresnext50_32x4d_classification,SKResNext50-32x4D,classification,imagenet,skresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
seresnext50_32x4d_classification,wrsa,0.3192621856927872,0.2647861331701279,0.35754682421684264,5,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,seresnext50_32x4d,seresnext50_32x4d_classification,SEResNext50-32x4D,classification,imagenet,seresnext50_32x4d,Convolutional,Semantic,Convolutional,,,,,,,
regnety_064_classification,wrsa,0.32363571524620055,0.2233448565006256,0.4027927815914154,5,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,regnety_064,regnety_064_classification,RegNetY-64,classification,imagenet,regnety_064,Convolutional,Semantic,Convolutional,,,,,,,
semnasnet_100_classification,wrsa,0.32401166558265687,0.26834646463394163,0.3701505959033966,5,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,semnasnet_100,semnasnet_100_classification,SemNASNet100,classification,imagenet,semnasnet_100,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,wrsa,0.3284346044063568,0.26433728337287904,0.3723667860031128,5,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,wrsa,0.33523175716400144,0.2712480664253235,0.38942628502845766,5,Fig2 architecture,Convolutional,#e69f00,10.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
convnext_large_classification,wrsa,0.3383179694414139,0.2731756865978241,0.40346025228500365,5,Fig2 architecture,Convolutional,#e69f00,11.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,convnext_large,convnext_large_classification,ConvNext-L,classification,imagenet,convnext_large,Convolutional,Semantic,Convolutional,,,,,,,imagenet
ghostnet_100_classification,wrsa,0.3399071156978607,0.30000181794166564,0.3888320028781891,5,Fig2 architecture,Convolutional,#e69f00,12.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,ghostnet_100,ghostnet_100_classification,GhostNet100,classification,imagenet,ghostnet_100,Convolutional,Semantic,Convolutional,,,,,,,
resnet50_classification,wrsa,0.3422485411167145,0.29811628460884093,0.386380797624588,5,Fig2 architecture,Convolutional,#e69f00,13.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,resnet50,resnet50_classification,ResNet50,classification,imagenet,resnet50,Convolutional,Semantic,Convolutional,,,,,,,
shufflenet_v2_x1_0_classification,wrsa,0.3433138579130173,0.25547283589839936,0.397996312379837,5,Fig2 architecture,Convolutional,#e69f00,14.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,shufflenet_v2_x1_0,shufflenet_v2_x1_0_classification,ShuffleNet-V2-x1.0,classification,imagenet,shufflenet_v2_x1_0,Convolutional,Semantic,Convolutional,,,,,,,
inception_v3_classification,wrsa,0.3451083540916443,0.28899445533752444,0.4012222528457642,5,Fig2 architecture,Convolutional,#e69f00,15.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,inception_v3,inception_v3_classification,Inception-V3,classification,imagenet,inception_v3,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,wrsa,0.3484298408031464,0.30580288767814634,0.3764398157596588,5,Fig2 architecture,Convolutional,#e69f00,16.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
efficientnet_b3_classification,wrsa,0.34985545873641966,0.2984233915805817,0.4012875258922577,5,Fig2 architecture,Convolutional,#e69f00,17.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,efficientnet_b3,efficientnet_b3_classification,EfficientNet-B3,classification,imagenet,efficientnet_b3,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,wrsa,0.3510982871055603,0.307537305355072,0.3960092544555664,5,Fig2 architecture,Convolutional,#e69f00,18.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
gmixer_24_224_classification,wrsa,0.3530497968196869,0.2778639256954193,0.41357332468032837,5,Fig2 architecture,Convolutional,#e69f00,19.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,gmixer_24_224,gmixer_24_224_classification,GMixer-24,classification,imagenet,gmixer_24_224,Convolutional,Semantic,Convolutional,,,,,,,
resnet152_classification,wrsa,0.3571894556283951,0.28738842010498045,0.414545476436615,5,Fig2 architecture,Convolutional,#e69f00,20.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,resnet152,resnet152_classification,ResNet152,classification,imagenet,resnet152,Convolutional,Semantic,Convolutional,,,,,,,
googlenet_classification,wrsa,0.35891384482383726,0.3341687798500061,0.3836589097976685,5,Fig2 architecture,Convolutional,#e69f00,21.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,googlenet,googlenet_classification,GoogleNet,classification,imagenet,googlenet,Convolutional,Semantic,Convolutional,,,,,,,
nfnet_l0_classification,wrsa,0.36152544617652893,0.3367306888103485,0.3929031252861023,5,Fig2 architecture,Convolutional,#e69f00,22.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,nfnet_l0,nfnet_l0_classification,NF-Net-L0,classification,imagenet,nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
eca_nfnet_l0_classification,wrsa,0.36311598122119904,0.2992622584104538,0.4177419662475586,5,Fig2 architecture,Convolutional,#e69f00,23.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,eca_nfnet_l0,eca_nfnet_l0_classification,ECA-NFNeT-L0,classification,imagenet,eca_nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
xception_classification,wrsa,0.3683284640312195,0.3281353235244751,0.4085216045379639,5,Fig2 architecture,Convolutional,#e69f00,24.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,xception,xception_classification,XCeption,classification,imagenet,xception,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_f_classification,wrsa,0.3700529456138611,0.2884731888771057,0.4436060547828674,5,Fig2 architecture,Convolutional,#e69f00,25.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,hardcorenas_f,hardcorenas_f_classification,HardCoreNAS-F,classification,imagenet,hardcorenas_f,Convolutional,Semantic,Convolutional,,,,,,,
resnet101_classification,wrsa,0.37537783980369566,0.3353867709636688,0.40752558708190917,5,Fig2 architecture,Convolutional,#e69f00,26.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,resnet101,resnet101_classification,ResNet101,classification,imagenet,resnet101,Convolutional,Semantic,Convolutional,,,,,,,
regnetx_064_classification,wrsa,0.3786452054977417,0.35903114080429077,0.4015379786491394,5,Fig2 architecture,Convolutional,#e69f00,27.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
cspresnet50_classification,wrsa,0.3796884596347809,0.34570151567459106,0.41020411252975464,5,Fig2 architecture,Convolutional,#e69f00,28.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,cspresnet50,cspresnet50_classification,CSP-ResNet50,classification,imagenet,cspresnet50,Convolutional,Semantic,Convolutional,,,,,,,
mobilenet_v2_classification,wrsa,0.38869349360466005,0.35117589831352236,0.426334410905838,5,Fig2 architecture,Convolutional,#e69f00,29.0,-0.38,32.38,0.3468427565964785,0.33629245360015014,0.35725677690722724,mobilenet_v2,mobilenet_v2_classification,MobileNet-V2,classification,imagenet,mobilenet_v2,Convolutional,Semantic,Convolutional,,,,,,,
