region,eval_type,n,mean,median,std,analysis
EBA,crsa,585,0.146374076747029,0.1505093723535537,0.07454334071994953,regular
EBA,wrsa,585,0.3872438210345263,0.4449980556964874,0.17384932898264774,regular
FBA,crsa,585,0.1297519345540935,0.1338401585817337,0.0707900271371188,regular
FBA,wrsa,585,0.33820002460742815,0.3980462253093719,0.1567725526723379,regular
FFA-1,crsa,585,0.1177864908879527,0.1160923391580581,0.06326009358567156,regular
FFA-1,wrsa,585,0.27774966364606024,0.2858243882656097,0.14586566795809527,regular
FFA-2,crsa,585,0.10947790424865328,0.1106081753969192,0.06583419354079874,regular
FFA-2,wrsa,585,0.26455717050250516,0.3111332058906555,0.14097013988726456,regular
OFA,crsa,585,0.11308142155904241,0.1093708127737045,0.05655121247721791,regular
OFA,wrsa,585,0.25215589429996105,0.2706104815006256,0.0983633619052545,regular
OPA,crsa,585,0.12495429627060026,0.1210286170244216,0.07080998555654489,regular
OPA,wrsa,585,0.26905130563496854,0.2889363169670105,0.11514199880813333,regular
PPA,crsa,585,0.12621403832732833,0.1304338574409485,0.07138805405137925,regular
PPA,wrsa,585,0.304770089374282,0.33463254570961,0.1294923499395657,regular
VWFA-1,crsa,585,0.10281797533640727,0.0987562909722328,0.06210461365420218,regular
VWFA-1,wrsa,585,0.2335505114586697,0.2306796908378601,0.120608820431844,regular
VWFA-2,crsa,585,0.07936983027164105,0.0788732767105102,0.04830525923771771,regular
VWFA-2,wrsa,585,0.1779329681463796,0.1913356035947799,0.0987763629594554,regular
l-objects,crsa,585,0.14862159265147548,0.1564452648162841,0.0731368528237112,regular
l-objects,wrsa,585,0.38438732963747896,0.4400389790534973,0.16690174493159426,regular
laion-lateral,crsa,585,0.14500826512359904,0.1370945870876312,0.06808688299141322,regular
laion-lateral,wrsa,585,0.3305025319738709,0.3693829476833343,0.1296412563916015,regular
laion-ventral,crsa,585,0.16565626401406444,0.162036046385765,0.07644419250059306,regular
laion-ventral,wrsa,585,0.4053511483813676,0.4533371329307556,0.14516990200049107,regular
mfs-words,crsa,468,0.09494560620034583,0.096454732120037,0.06255129321477469,regular
mfs-words,wrsa,468,0.25937804259556907,0.2602841705083847,0.1451758128526214,regular
otc,crsa,585,0.16590235434854636,0.160150870680809,0.07630561123702452,regular
otc,wrsa,585,0.3829143763706884,0.4300628304481506,0.14683339044267485,regular
otc-category,crsa,585,0.16737608037005686,0.1716308742761612,0.08019386109201446,regular
otc-category,wrsa,585,0.43855244132277704,0.5085006356239319,0.18377716548147452,regular
otc-streams,crsa,585,0.1655042354439377,0.1598474830389022,0.07516440105578522,regular
otc-streams,wrsa,585,0.3837812498291461,0.4280901849269867,0.14514158091684834,regular
pSTS-words,crsa,234,0.024599976264830195,0.02308462280780075,0.023797997542506014,regular
pSTS-words,wrsa,234,0.07110681615418624,0.045541999861598,0.06323134159433773,regular
v-objects,crsa,585,0.15232894074107847,0.1625042408704757,0.08208985947433159,regular
v-objects,wrsa,585,0.4528070542139922,0.5411770343780518,0.19462230588871376,regular
EBA,crsa,585,0.17633005235340188,0.1819891780614853,0.08707703976224127,ood
EBA,wrsa,585,0.4091355033362141,0.4448672235012054,0.11607573872572778,ood
FBA,crsa,585,0.15365606843698845,0.1455444693565368,0.0937093577578076,ood
FBA,wrsa,585,0.34492613256383586,0.3579932749271393,0.11462969214905983,ood
FFA-1,crsa,585,0.18538541438458006,0.1921949088573455,0.10889870855785522,ood
FFA-1,wrsa,585,0.387227035053154,0.3992748856544494,0.0964098391260575,ood
FFA-2,crsa,585,0.14848552476604762,0.1485151648521423,0.09861403936332673,ood
FFA-2,wrsa,585,0.25517505934366425,0.2633464634418487,0.07449502252065507,ood
OFA,crsa,585,0.1507908713791925,0.1492218822240829,0.09434519748802293,ood
OFA,wrsa,585,0.30564945450641656,0.3038292527198791,0.0993474311383672,ood
OPA,crsa,585,0.1931763590106782,0.1962824910879135,0.12281968233556213,ood
OPA,wrsa,585,0.37882789060091354,0.3888312578201294,0.09075134114013204,ood
PPA,crsa,585,0.20201002358474854,0.2140265107154846,0.1280136073500826,ood
PPA,wrsa,585,0.43684562113470377,0.4518852233886719,0.08132379255246988,ood
VWFA-1,crsa,585,0.17083147704147564,0.1662117689847946,0.09870174128398615,ood
VWFA-1,wrsa,585,0.3590297293883119,0.374420702457428,0.09548292399206021,ood
VWFA-2,crsa,585,0.09379853101797463,0.0891492515802383,0.053407883236542254,ood
VWFA-2,wrsa,585,0.19302844290937987,0.1940754354000091,0.08311517751835823,ood
l-objects,crsa,585,0.1723050170108421,0.1797599047422409,0.08637923636446182,ood
l-objects,wrsa,585,0.40001562277897873,0.4318144023418426,0.12259602707412176,ood
laion-lateral,crsa,585,0.20451572445195373,0.212053894996643,0.11346646192200648,ood
laion-lateral,wrsa,585,0.42933545604061624,0.4415319561958313,0.09539454692032719,ood
laion-ventral,crsa,585,0.24815626250740144,0.2596409916877746,0.14085943149996466,ood
laion-ventral,wrsa,585,0.549231977498111,0.5677926540374756,0.10508067148286539,ood
mfs-words,crsa,468,0.12472268285285892,0.1214469745755195,0.08586625828694816,ood
mfs-words,wrsa,468,0.27159178309450044,0.2855328321456909,0.10369692562309225,ood
otc,crsa,585,0.23901487249148703,0.2531138658523559,0.1308006412470581,ood
otc,wrsa,585,0.5056559850819982,0.5274752378463745,0.09798865515585774,ood
otc-category,crsa,585,0.21731184656715863,0.2342047244310379,0.10897662429419558,ood
otc-category,wrsa,585,0.4816249959615087,0.5191892385482788,0.11255586335986109,ood
otc-streams,crsa,585,0.2387830693686667,0.2520333230495453,0.13061629341435074,ood
otc-streams,wrsa,585,0.5091341066118489,0.5291711091995239,0.10013432382641393,ood
pSTS-words,crsa,234,0.03404007169804094,0.02826322615146635,0.03140305491388511,ood
pSTS-words,wrsa,234,0.06491930270464923,0.0665500238537788,0.0391898606818949,ood
v-objects,crsa,585,0.18945367599192717,0.1861863583326339,0.11023782967699415,ood
v-objects,wrsa,585,0.4785154586562361,0.5102167129516602,0.1348373431678993,ood
