model,model_class,train_type,train_data,model_source,task_cluster,comparison_group
BiT/Expert/ResNet/V2/Abstraction_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
BiT/Expert/ResNet/V2/Animal_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
BiT/Expert/ResNet/V2/Arthropod_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
BiT/Expert/ResNet/V2/Bird_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
BiT/Expert/ResNet/V2/Flower_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
BiT/Expert/ResNet/V2/Food_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
BiT/Expert/ResNet/V2/Instrument_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
BiT/Expert/ResNet/V2/Mammal_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
BiT/Expert/ResNet/V2/Object_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
BiT/Expert/ResNet/V2/Relation_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
BiT/Expert/ResNet/V2/Vehicle_bit_expert,Convolutional,bit_expert,big_transfer,bit_expert,Expertise,other
DPT_Hybrid_monoculardepth,Transformer,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",midas,MonocularDepth,other
DPT_Large_monoculardepth,Transformer,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",midas,MonocularDepth,other
MiDaS_monoculardepth,Convolutional,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",midas,MonocularDepth,other
MiDaS_small_monoculardepth,Convolutional,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",midas,MonocularDepth,other
RN101_clip,Convolutional,clip,openai400M,clip,Vision-Language,other
RN50_clip,Convolutional,clip,openai400M,clip,Vision-Language,other
RN50x16_clip,Convolutional,clip,openai400M,clip,Vision-Language,other
RN50x4_clip,Convolutional,clip,openai400M,clip,Vision-Language,other
RN50x64_clip,Convolutional,clip,openai400M,clip,Vision-Language,other
ResNet50/ClusterFit/16K/RotNet_selfsupervised,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/16_clip,Transformer,clip,openai400M,clip,Vision-Language,other
ViT/B/32_clip,Transformer,clip,openai400M,clip,Vision-Language,other
ViT/B/SLIP/Ep100_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
ViT/L/14_clip,Transformer,clip,openai400M,clip,Vision-Language,other
ViT/L/CLIP/CC12M_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
ViT/L/SLIP/CC12M_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
ViT/L/SLIP/Ep100_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
ViT/S/SLIP/Ep100_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
adv_inception_v3_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
alexnet_gn_ipcl_imagenet,Convolutional,ipcl,imagenet,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_openimages,Convolutional,ipcl,openimages,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_places256,Convolutional,ipcl,places256,open_ipcl,Self-Supervised,input_ipcl
alexnet_gn_ipcl_vggface2,Convolutional,ipcl,vggface2,open_ipcl,Self-Supervised,input_ipcl
autoencoding_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,2D,task_taskonomy
beit_base_patch16_224_bert_pretraining,Transformer,bert_pretraining,imagenet,timm,Semantic,other
beit_large_patch16_224_bert_pretraining,Transformer,bert_pretraining,imagenet,timm,Semantic,other
cait_s24_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
cait_xxs24_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
class_object_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
class_scene_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Semantic,task_taskonomy
coat_lite_small_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
coat_lite_tiny_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
coat_mini_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
convit_base_classification,Hybrid,classification,imagenet,timm,Semantic,other
convit_small_classification,Hybrid,classification,imagenet,timm,Semantic,other
convit_tiny_classification,Hybrid,classification,imagenet,timm,Semantic,other
convmixer_768_32_classification,Hybrid,classification,imagenet,timm,Semantic,other
convnext_base_classification,Convolutional,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
convnext_base_in22k_classification,Convolutional,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
convnext_large_classification,Convolutional,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
convnext_large_in22k_classification,Convolutional,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
convnext_small_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
cornet_s,Convolutional,classification,imagenet,cornet,Semantic,arch_cnn_in1k
crossvit_base_240_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
crossvit_tiny_240_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
cspdarknet53_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
cspresnet50_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
curvature_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
deit_base_patch16_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
deit_small_patch16_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
deit_tiny_patch16_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
denoising_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Other,task_taskonomy
densenet161_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
densenet201_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
depth_euclidean_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
depth_zbuffer_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
dino_dino_resnet50,Convolutional,selfsupervised,imagenet,dino,Self-Supervised,other
dino_dino_vitb16,Transformer,selfsupervised,imagenet,dino,Self-Supervised,other
dino_dino_vitb8,Transformer,selfsupervised,imagenet,dino,Self-Supervised,other
dino_dino_vits16,Transformer,selfsupervised,imagenet,dino,Self-Supervised,other
dino_dino_vits8,Transformer,selfsupervised,imagenet,dino,Self-Supervised,other
dino_xcit_medium_24_p16_selfsupervised,Transformer,selfsupervised,imagenet,dino,Self-Supervised,other
dino_xcit_medium_24_p8_selfsupervised,Transformer,selfsupervised,imagenet,dino,Self-Supervised,other
dino_xcit_small_12_p16_selfsupervised,Transformer,selfsupervised,imagenet,dino,Self-Supervised,other
dino_xcit_small_12_p8_selfsupervised,Transformer,selfsupervised,imagenet,dino,Self-Supervised,other
dinov2_vitl14,Transformer,selfsupervised,lvd142m,dinov2,Self-Supervised,other
dinov3/vitl16/pretrain/lvd1689m,Transformer,selfsupervised,lvd1689m,dinov3,Self-Supervised,other
dla169_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
dla34_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
eca_nfnet_l0_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
eca_nfnet_l1_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
ecaresnet101d_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
ecaresnet50d_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
edge_occlusion_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
edge_texture_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,2D,task_taskonomy
efficientnet_b1_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
efficientnet_b3_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
efficientnet_b5_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
efficientnetv2_rw_s_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
egomotion_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Geometric,task_taskonomy
faster_rcnn_R_101_C4_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
faster_rcnn_R_101_DC5_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
faster_rcnn_R_101_FPN_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
faster_rcnn_R_50_C4_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
faster_rcnn_R_50_DC5_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
faster_rcnn_R_50_FPN_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
faster_rcnn_X_101_32x8d_FPN_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
fbnetc_100_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
fixated_pose_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Geometric,task_taskonomy
gcresnet50t_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
gernet_l_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
gernet_s_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
ghostnet_100_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
gmixer_24_224_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
gmlp_s16_224_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
googlenet_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
hardcorenas_a_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
hardcorenas_f_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
hrnet_w18_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
hrnet_w64_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
inception_resnet_v2_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
inception_v3_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
inception_v4_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
inpainting_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,2D,task_taskonomy
jigsaw_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Geometric,task_taskonomy
jx_nest_base_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
jx_nest_small_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
jx_nest_tiny_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
keypoint_rcnn_R_50_FPN_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
keypoints2d_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,2D,task_taskonomy
keypoints3d_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
lambda_resnet26t_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
levit_128_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
levit_256_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
mask_rcnn_R_101_C4_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mask_rcnn_R_101_DC5_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mask_rcnn_R_101_FPN_1x_segmentation,Convolutional,segmentation,LVIS,detectron,Detection|Segmentation,other
mask_rcnn_R_101_FPN_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mask_rcnn_R_50_C4_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mask_rcnn_R_50_DC5_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mask_rcnn_R_50_FPN_1x_segmentation,Convolutional,segmentation,LVIS,detectron,Detection|Segmentation,other
mask_rcnn_R_50_FPN_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mask_rcnn_X_101_32x8d_FPN_1x_segmentation,Convolutional,segmentation,LVIS,detectron,Detection|Segmentation,other
mask_rcnn_X_101_32x8d_FPN_3x_segmentation,Convolutional,segmentation,coco2017,detectron,Detection|Segmentation,other
mixer_b16_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
mixer_b16_224_in21k_classification,MLP-Mixer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
mixer_l16_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
mixer_l16_224_in21k_classification,MLP-Mixer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
mixnet_l_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
mixnet_s_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
mnasnet0_5_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
mnasnet1_0_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
mnasnet_100_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
mobilenetv3_large_100_classification,Convolutional,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
mobilenetv3_large_100_miil_in21k_classification,Convolutional,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
mobilenetv3_rw_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
mobilevit_s_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
nasnetalarge_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
nf_resnet50_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
nfnet_l0_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
nonfixated_pose_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Geometric,task_taskonomy
normal_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
openclip_coca_vit_b_32_laion2b_s13b_b90k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_coca_vit_l_14_laion2b_s13b_b90k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_convnext_base_laion400m_s13b_b51k,Convolutional,clip,laion400m,openclip,Vision-Language,other
openclip_convnext_base_w_laion2b_s13b_b82k,Convolutional,clip,laion2b,openclip,Vision-Language,other
openclip_convnext_large_d_laion2b_s26b_b102k_augreg,Convolutional,clip,laion2b,openclip,Vision-Language,other
openclip_convnext_xxlarge_laion2b_s34b_b82k_augreg,Convolutional,clip,laion2b,openclip,Vision-Language,other
openclip_eva01_g_14_laion400m_s11b_b41k,Transformer,clip,laion400m,openclip,Vision-Language,other
openclip_eva01_g_14_plus_merged2b_s11b_b114k,Transformer,clip,merged2b,openclip,Vision-Language,other
openclip_eva02_b_16_merged2b_s8b_b131k,Transformer,clip,merged2b,openclip,Vision-Language,other
openclip_eva02_e_14_plus_laion2b_s9b_b144k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_eva02_l_14_merged2b_s4b_b131k,Transformer,clip,merged2b,openclip,Vision-Language,other
openclip_vit_b_16_commonpool_l_clip_s1b_b8k,Transformer,clip,commonpool,openclip,Vision-Language,other
openclip_vit_b_16_datacomp_xl_s13b_b90k,Transformer,clip,datacomp,openclip,Vision-Language,other
openclip_vit_b_16_laion2b_s34b_b88k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_vit_b_16_laion400m_e32,Transformer,clip,laion400m,openclip,Vision-Language,other
openclip_vit_b_32_commonpool_m_clip_s128m_b4k,Transformer,clip,commonpool,openclip,Vision-Language,other
openclip_vit_b_32_commonpool_s_clip_s13m_b4k,Transformer,clip,commonpool,openclip,Vision-Language,other
openclip_vit_bigg_14_clipa_datacomp1b,Transformer,clip,datacomp,openclip,Vision-Language,other
openclip_vit_bigg_14_laion2b_s39b_b160k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_vit_g_14_laion2b_s34b_b88k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_vit_h_14_clipa_datacomp1b,Transformer,clip,datacomp,openclip,Vision-Language,other
openclip_vit_h_14_laion2b_s32b_b79k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_vit_h_14_quickgelu_metaclip_fullcc,Transformer,clip,metaclip,openclip,Vision-Language,other
openclip_vit_l_14_clipa_datacomp1b,Transformer,clip,datacomp,openclip,Vision-Language,other
openclip_vit_l_14_commonpool_xl_clip_s13b_b90k,Transformer,clip,commonpool,openclip,Vision-Language,other
openclip_vit_l_14_datacomp_xl_s13b_b90k,Transformer,clip,datacomp,openclip,Vision-Language,other
openclip_vit_l_14_laion2b_s32b_b82k,Transformer,clip,laion2b,openclip,Vision-Language,other
openclip_vit_l_14_laion400m_e31,Transformer,clip,laion400m,openclip,Vision-Language,other
openclip_vit_l_14_laion400m_e32,Transformer,clip,laion400m,openclip,Vision-Language,other
openclip_vit_l_14_quickgelu_metaclip_400m,Transformer,clip,metaclip,openclip,Vision-Language,other
openclip_vit_l_14_quickgelu_metaclip_fullcc,Transformer,clip,metaclip,openclip,Vision-Language,other
openclip_vit_so400m_14_siglip_webli,Transformer,siglip,webli,openclip,Vision-Language,other
panoptic_fpn_R_50_3x_panoptics,Convolutional,panoptics,coco2017,detectron,Detection|Segmentation,other
pit_b_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
pit_s_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
pit_ti_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
pnasnet5large_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
point_matching_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Geometric,task_taskonomy
poolformer_m36_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
poolformer_s12_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
poolformer_s36_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
random_weights_taskonomy,Convolutional,taskonomy,none,taskonomy,Random,task_taskonomy
regnetx_064_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
regnety_064_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
repvgg_b1_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
repvgg_b1g4_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
res2net50_26w_4s_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
reshading_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,3D,task_taskonomy
resmlp_12_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,other
resmlp_24_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,other
resmlp_36_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,other
resmlp_big_24_224_classification,MLP-Mixer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
resmlp_big_24_224_in22ft1k_classification,MLP-Mixer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
resnest50d_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
