model,model_class,train_type,train_data,model_source,task_cluster,comparison_group
resnetrs50_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
resnetv2_101x3_bitm_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnetv2_101x3_bitm_in21k_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnetv2_152x4_bitm_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnetv2_152x4_bitm_in21k_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnetv2_50x1_bitm_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnetv2_50x1_bitm_in21k_big_transfer,Convolutional,big_transfer,big_transfer,timm,Semantic,input_in1k_vs_in21k
resnext101_32x8d_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
resnext50_32x4d_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
retinanet_R_101_FPN_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
retinanet_R_50_FPN_3x_detection,Convolutional,detection,coco2017,detectron,Detection|Segmentation,other
rexnet_100_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
robustness_imagenet_l2_eps3,Convolutional,adversarial,imagenet,robustness,Other,other
room_layout_taskonomy,Convolutional,taskonomy,taskonomy,taskonomy,Geometric,task_taskonomy
seer_regnet128gf,Convolutional,seer,random1B,seer,Self-Supervised,other
seer_regnet128gf_inft,Convolutional,seer,random1B,seer,Self-Supervised,other
seer_regnet32gf,Convolutional,seer,random1B,seer,Self-Supervised,other
seer_regnet64gf,Convolutional,seer,random1B,seer,Self-Supervised,other
selecsls60_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
semnasnet_100_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
seresnet50_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
seresnext50_32x4d_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
shufflenet_v2_x0_5_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
shufflenet_v2_x1_0_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
skresnet18_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
skresnext50_32x4d_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
slip_vit_b_clip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
slip_vit_b_simclr,Transformer,slip,YFCC15M,slip,Self-Supervised,task_slip
slip_vit_b_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
slip_vit_l_clip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
slip_vit_l_simclr,Transformer,slip,YFCC15M,slip,Self-Supervised,task_slip
slip_vit_l_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
slip_vit_s_clip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
slip_vit_s_simclr,Transformer,slip,YFCC15M,slip,Self-Supervised,task_slip
slip_vit_s_slip,Transformer,slip,YFCC15M,slip,Vision-Language,task_slip
spnasnet_100_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
squeezenet1_0_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
squeezenet1_1_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
ssl_resnet18_semi/supervised,Convolutional,semi-supervised,YFCC100M,timm,Semantic,other
ssl_resnet50_semi/supervised,Convolutional,semi-supervised,YFCC100M,timm,Semantic,other
ssl_resnext101_32x4d_semi/supervised,Convolutional,semi-supervised,YFCC100M,timm,Semantic,other
swin_base_patch4_window7_224_classification,Transformer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
swin_base_patch4_window7_224_in22k_classification,Transformer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
swin_large_patch4_window7_224_classification,Transformer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
swin_large_patch4_window7_224_in22k_classification,Transformer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
swin_small_patch4_window7_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
swin_tiny_patch4_window7_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
swsl_resnet18_semi/weakly/supervised,Convolutional,semi-weakly-supervised,Instagram,timm,Semantic,other
swsl_resnet50_semi/weakly/supervised,Convolutional,semi-weakly-supervised,Instagram,timm,Semantic,other
swsl_resnext101_32x4d_semi/weakly/supervised,Convolutional,semi-weakly-supervised,Instagram,timm,Semantic,other
tf_efficientnet_b0_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b0_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b0_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b1_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b1_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b1_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b2_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b2_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b2_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b3_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b3_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b3_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b4_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b4_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b4_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b5_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b5_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b5_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b6_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b6_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b6_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b7_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b7_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b7_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
timm_beit_base_patch16_224_in22k_ft_in22k_in1k,Transformer,bert_pretraining,imagenet21k,timm,Self-Supervised,other
timm_beit_large_patch16_224_in22k_ft_in22k_in1k,Transformer,bert_pretraining,imagenet21k,timm,Self-Supervised,other
timm_beitv2_base_patch16_224_in1k_ft_in22k_in1k,Transformer,bert_pretraining,imagenet21k,timm,Self-Supervised,other
timm_beitv2_large_patch16_224_in1k_ft_in22k_in1k,Transformer,bert_pretraining,imagenet21k,timm,Self-Supervised,other
timm_convnext_base_clip_laion2b,Convolutional,clip,laion2b,timm,Vision-Language,other
timm_convnext_xxlarge_clip_laion2b_rewind,Convolutional,clip,laion2b,timm,Vision-Language,other
timm_convnextv2_base_fcmae_ft_in22k_in1k,Convolutional,selfsupervised,imagenet,timm,Self-Supervised,other
timm_convnextv2_huge_fcmae_ft_in22k_in1k_384,Convolutional,selfsupervised,imagenet,timm,Self-Supervised,other
timm_convnextv2_tiny_fcmae_ft_in22k_in1k,Convolutional,selfsupervised,imagenet,timm,Self-Supervised,other
timm_eva02_base_patch14_448_mim_in22k_ft_in22k_in1k,Transformer,classification,imagenet22k,timm,Semantic,other
timm_eva02_large_patch14_448_mim_in22k_ft_in22k_in1k,Transformer,classification,imagenet22k,timm,Semantic,other
timm_vit_base_patch14_dinov2_lvd142m,Transformer,selfsupervised,lvd142m,timm,Self-Supervised,other
timm_vit_base_patch14_reg4_dinov2_lvd142m,Transformer,selfsupervised,lvd142m,timm,Self-Supervised,other
timm_vit_base_patch16_224_dino,Transformer,selfsupervised,imagenet,timm,Self-Supervised,other
timm_vit_base_patch16_224_mae,Transformer,selfsupervised,imagenet,timm,Self-Supervised,other
timm_vit_base_patch16_clip_224_datacompxl,Transformer,clip,datacomp,timm,Vision-Language,other
timm_vit_base_patch16_clip_224_dfn2b,Transformer,clip,dfn2b,timm,Vision-Language,other
timm_vit_base_patch16_clip_224_laion2b,Transformer,clip,laion2b,timm,Vision-Language,other
timm_vit_base_patch16_clip_224_openai,Transformer,clip,openai400M,timm,Vision-Language,other
timm_vit_base_patch16_siglip_256_webli,Transformer,siglip,webli,timm,Vision-Language,other
timm_vit_base_patch32_clip_224_metaclip_2pt5b,Transformer,clip,metaclip,timm,Vision-Language,other
timm_vit_giant_patch14_dinov2_lvd142m,Transformer,selfsupervised,lvd142m,timm,Self-Supervised,other
timm_vit_giant_patch14_reg4_dinov2_lvd142m,Transformer,selfsupervised,lvd142m,timm,Self-Supervised,other
timm_vit_huge_patch14_224_mae,Transformer,selfsupervised,imagenet,timm,Self-Supervised,other
timm_vit_huge_patch14_clip_224_dfn5b,Transformer,clip,dfn5b,timm,Vision-Language,other
timm_vit_huge_patch14_clip_224_metaclip_2pt5b,Transformer,clip,metaclip,timm,Vision-Language,other
timm_vit_huge_patch14_clip_378_dfn5b,Transformer,clip,dfn5b,timm,Vision-Language,other
timm_vit_large_patch14_clip_224_datacompxl,Transformer,clip,datacomp,timm,Vision-Language,other
timm_vit_large_patch14_clip_224_dfn2b,Transformer,clip,dfn2b,timm,Vision-Language,other
timm_vit_large_patch14_clip_224_laion2b,Transformer,clip,laion2b,timm,Vision-Language,other
timm_vit_large_patch14_clip_224_metaclip_2pt5b,Transformer,clip,metaclip,timm,Vision-Language,other
timm_vit_large_patch14_clip_224_openai,Transformer,clip,openai400M,timm,Vision-Language,other
timm_vit_large_patch14_clip_quickgelu_224_openai,Transformer,clip,openai400M,timm,Vision-Language,other
timm_vit_large_patch14_dinov2_lvd142m,Transformer,selfsupervised,lvd142m,timm,Self-Supervised,other
timm_vit_large_patch14_reg4_dinov2_lvd142m,Transformer,selfsupervised,lvd142m,timm,Self-Supervised,other
timm_vit_large_patch16_224_mae,Transformer,selfsupervised,imagenet,timm,Self-Supervised,other
timm_vit_large_patch16_siglip_256_webli,Transformer,siglip,webli,timm,Vision-Language,other
timm_vit_small_patch14_dinov2_lvd142m,Transformer,selfsupervised,lvd142m,timm,Self-Supervised,other
timm_vit_small_patch14_reg4_dinov2_lvd142m,Transformer,selfsupervised,lvd142m,timm,Self-Supervised,other
timm_vit_small_patch16_224_dino,Transformer,selfsupervised,imagenet,timm,Self-Supervised,other
timm_vit_so400m_patch14_siglip_224_webli,Transformer,siglip,webli,timm,Vision-Language,other
timm_vit_so400m_patch14_siglip_384_webli,Transformer,siglip,webli,timm,Vision-Language,other
tnt_s_patch16_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
torchvision_alexnet_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_convnext_base_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_convnext_large_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_convnext_small_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_convnext_tiny_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_densenet121_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_densenet169_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_efficientnet_b0_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_efficientnet_b4_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_efficientnet_b7_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_efficientnet_v2_l_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_efficientnet_v2_m_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_efficientnet_v2_s_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_inception_v3_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_mobilenet_v2_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_mobilenet_v3_large_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_resnet101_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_resnet152_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_resnet18_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_resnet34_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_resnet50_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_swin_b_imagenet1k_v1,Transformer,classification,imagenet1k,torchvision,Semantic,arch_transformer_in1k
torchvision_swin_s_imagenet1k_v1,Transformer,classification,imagenet1k,torchvision,Semantic,arch_transformer_in1k
torchvision_swin_t_imagenet1k_v1,Transformer,classification,imagenet1k,torchvision,Semantic,arch_transformer_in1k
torchvision_swin_v2_b_imagenet1k_v1,Transformer,classification,imagenet1k,torchvision,Semantic,arch_transformer_in1k
torchvision_swin_v2_s_imagenet1k_v1,Transformer,classification,imagenet1k,torchvision,Semantic,arch_transformer_in1k
torchvision_swin_v2_t_imagenet1k_v1,Transformer,classification,imagenet1k,torchvision,Semantic,arch_transformer_in1k
torchvision_vgg11_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_vgg13_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_vgg16_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_vgg19_imagenet1k_v1,Convolutional,classification,imagenet1k,torchvision,Semantic,arch_cnn_in1k
torchvision_vit_b_16_imagenet1k_v1,Transformer,classification,imagenet1k,torchvision,Semantic,arch_transformer_in1k
torchvision_vit_b_32_imagenet1k_v1,Transformer,classification,imagenet1k,torchvision,Semantic,arch_transformer_in1k
torchvision_vit_h_14_imagenet1k_swag_e2e_v1,Transformer,classification,imagenet1k_swag,torchvision,Semantic,other
torchvision_vit_h_14_imagenet1k_swag_linear_v1,Transformer,classification,imagenet1k_swag,torchvision,Semantic,other
torchvision_vit_l_16_imagenet1k_v1,Transformer,classification,imagenet1k,torchvision,Semantic,arch_transformer_in1k
tresnet_l_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
twins_pcpvt_base_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
twins_svt_base_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
vgg11_bn_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
vgg13_bn_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
vgg16_bn_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
vgg19_bn_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
vicreg_convnext_base_alpha0p9,Convolutional,selfsupervised,imagenet,vicreg,Self-Supervised,other
vicreg_convnext_xlarge_alpha0p75,Convolutional,selfsupervised,imagenet,vicreg,Self-Supervised,other
vicreg_resnet200x2,Convolutional,selfsupervised,imagenet,vicreg,Self-Supervised,other
vicreg_resnet50,Convolutional,selfsupervised,imagenet,vicreg,Self-Supervised,other
vicreg_resnet50x2,Convolutional,selfsupervised,imagenet,vicreg,Self-Supervised,other
visformer_small_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
vissl_resnet50_barlowtwins,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
vissl_resnet50_deepclusterv2,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
vissl_resnet50_jigsaw_goyal19,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
vissl_resnet50_mocov2,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
vissl_resnet50_npid,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
vissl_resnet50_pirl,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
vissl_resnet50_rotnet,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
vissl_resnet50_simclr,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
vissl_resnet50_supervised,Convolutional,classification,imagenet,vissl,Semantic,task_vissl
vissl_resnet50_swav,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
vit_base_patch16_224_classification,Transformer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
vit_base_patch16_224_in21k_classification,Transformer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
vit_base_patch32_224_classification,Transformer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
vit_base_patch32_224_in21k_classification,Transformer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
vit_base_r50_s16_224_in21k_classification,Transformer,classification,imagenet21k,timm,Semantic,other
vit_large_patch16_224_classification,Transformer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
vit_large_patch16_224_in21k_classification,Transformer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
vit_large_patch32_224_classification,Transformer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
vit_large_patch32_224_in21k_classification,Transformer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
vit_small_patch16_224_classification,Transformer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
vit_small_patch16_224_in21k_classification,Transformer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
vit_small_patch32_224_classification,Transformer,classification,imagenet,timm,Semantic,input_in1k_vs_in21k
vit_small_patch32_224_in21k_classification,Transformer,classification,imagenet21k,timm,Semantic,input_in1k_vs_in21k
vit_tiny_patch16_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
volo_d1_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
volo_d3_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
volo_d5_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
wide_resnet101_2_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
wide_resnet50_2_classification,Convolutional,classification,imagenet,torchvision,Semantic,arch_cnn_in1k
xception65_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
xception_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
xcit_medium_24_p16_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
xcit_medium_24_p8_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
xcit_nano_12_p16_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
xcit_nano_12_p8_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
xcit_small_12_p16_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
xcit_small_12_p8_224_classification,Transformer,classification,imagenet,timm,Semantic,arch_transformer_in1k
